Date,country,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Bienes,Bienes y servicios varios,Comunicación,Educación,Equipamiento y mantenimiento del hogar,Estacional,Nivel general,Núcleo,Prendas de vestir y calzado,Recreación y cultura,Regulados,Restaurantes y hoteles,Salud,Servicios,Transporte,"Vivienda, agua, electricidad y otros combustibles",Salud - current_prices_yoy,Salud - current_prices_mom,Salud - constant_prices,Bienes - current_prices_yoy,Bienes - current_prices_mom,Bienes - constant_prices,Núcleo - current_prices_yoy,Núcleo - current_prices_mom,Núcleo - constant_prices,Regulados - current_prices_yoy,Regulados - current_prices_mom,Regulados - constant_prices,Servicios - current_prices_yoy,Servicios - current_prices_mom,Servicios - constant_prices,Educación - current_prices_yoy,Educación - current_prices_mom,Educación - constant_prices,Estacional - current_prices_yoy,Estacional - current_prices_mom,Estacional - constant_prices,Transporte - current_prices_yoy,Transporte - current_prices_mom,Transporte - constant_prices,Comunicación - current_prices_yoy,Comunicación - current_prices_mom,Comunicación - constant_prices,Nivel general - current_prices_yoy,Nivel general - current_prices_mom,Nivel general - cumsum_12,Nivel general - constant_prices,Nivel general - YTD_change,Nivel general - YTD_sum,Recreación y cultura - current_prices_yoy,Recreación y cultura - current_prices_mom,Recreación y cultura - constant_prices,Restaurantes y hoteles - current_prices_yoy,Restaurantes y hoteles - current_prices_mom,Restaurantes y hoteles - constant_prices,Bienes y servicios varios - current_prices_yoy,Bienes y servicios varios - current_prices_mom,Bienes y servicios varios - constant_prices,Prendas de vestir y calzado - current_prices_yoy,Prendas de vestir y calzado - current_prices_mom,Prendas de vestir y calzado - constant_prices,Bebidas alcohólicas y tabaco - current_prices_yoy,Bebidas alcohólicas y tabaco - current_prices_mom,Bebidas alcohólicas y tabaco - constant_prices,Alimentos y bebidas no alcohólicas - current_prices_yoy,Alimentos y bebidas no alcohólicas - current_prices_mom,Alimentos y bebidas no alcohólicas - constant_prices,Equipamiento y mantenimiento del hogar - current_prices_yoy,Equipamiento y mantenimiento del hogar - current_prices_mom,Equipamiento y mantenimiento del hogar - constant_prices,"Vivienda, agua, electricidad y otros combustibles - current_prices_yoy","Vivienda, agua, electricidad y otros combustibles - current_prices_mom","Vivienda, agua, electricidad y otros combustibles - constant_prices"
2021-04-01,Argentina,481.2407,378.4685,487.9835,404.5705,433.2713,406.8828,460.1121,467.7635,453.6503,461.8578,461.9321,443.676,420.7778,413.8512,490.482,388.4611,487.9806,401.9368,45.2194404005539,3.7275618793036536,1992.6473619690332,53.986443054803026,4.6964376476232195,1982.4968784979176,49.774830794754685,4.558951371909803,1876.3578006426765,27.643184501455487,3.53004916460522,1709.464920517233,30.35231198025827,2.5036618713369707,1578.1740943451314,34.908000724137445,2.4769284938201297,1653.0146632304013,63.61637186838034,2.1577094795032004,1900.3504803446444,52.556485659120234,5.651565902892397,1982.4850968681133,19.31026772376012,0.5311822767540164,1760.221400503777,46.280152829043075,4.080293539959667,4472.2111,1843.0137569808076,0.1756174028059312,1706.8826,50.79777254509563,1.4840529666992008,1802.4918569263964,45.70557946713842,3.875497350975432,1681.324700861028,30.949475581288468,3.64410129579944,1643.620641645346,79.09856754365492,6.020071034708319,1876.6596541235267,43.99909446137573,3.58235948232426,1537.5778481440236,46.37231449136729,4.317336326458765,1955.103370413452,51.9702937431568,4.292565479773991,1869.265665763539,23.905307896074568,3.4646279385549983,1632.9208904674888
2021-05-01,Argentina,496.1796,384.5689,505.134,416.3379,437.5563,416.1535,470.991,474.7275,468.725,477.9293,471.6343,457.4624,436.6403,429.2946,513.7918,399.1277,517.0463,410.1034,50.519311631215345,4.752427204260279,2018.710326193641,56.23659389416156,3.514565553958282,1984.6934534795976,52.53736202183394,3.4797506938282874,1877.8050040901755,32.567522436636985,3.7698043955741056,1715.578727496798,33.09713649262864,2.7458605250306967,1568.1900907330903,38.55969053986384,2.278469377422687,1635.0851993582332,58.62160563747357,1.4887865342208206,1865.224992648952,59.96046824311072,5.956322853818374,2031.4973982267045,20.089928235259254,0.9889877312436955,1719.177731332191,48.84472864674745,3.3229780736395487,4626.0274,1841.6409091097105,0.2146829113310631,2175.6076000000003,51.7612385531105,3.1073125433875193,1797.3896639170302,48.84572897878687,3.7316310789965,1686.7171527439104,32.214035768532476,2.9086154329097225,1635.8097149774978,70.03158838908587,2.1003519781370494,1853.071675330571,46.20951776992304,1.6118646598065611,1510.9879323938796,49.89659066397676,3.1042470015524515,1949.5112264668887,51.28274804099553,2.3644020663659893,1850.5441216544705,26.28653533714931,2.031811966458408,1611.3140933489428
2021-06-01,Argentina,512.2593,405.6917,522.2312,424.5201,468.3691,420.9305,486.2222,477.1486,483.6049,495.1809,487.9626,467.7135,450.6922,442.6958,530.2766,410.0618,533.8777,420.2876,51.95221217281767,3.208459146292353,2020.833969244952,56.97307149873574,3.3846860437032333,1990.1737107757615,54.46729343959711,3.6096552356174927,1887.0875758826387,35.81685291205172,3.2181866859289032,1717.5453479066205,35.493120630179355,2.739499162799275,1562.7067363140852,39.63429015754079,1.1478937459374894,1604.126324056657,52.16978517575237,0.509997840866605,1818.368186070575,62.20639689270173,3.255298413314245,2034.5574207543111,28.02132772670072,7.04201950697545,1784.910341932278,50.20007839147161,3.1745479758920503,4787.6585000000005,1842.9725347362264,0.2532436031062299,2659.2125,48.95097211827837,2.2408617626279215,1782.4119123386718,50.11629290960824,3.1216791452769233,1687.0718238030292,34.36425453366891,1.965278683492433,1617.805950153682,64.95365393586599,3.4620679624022266,1859.5793172866515,48.61470821174423,5.492591834649141,1546.0526985364477,53.15846029283906,3.240701552421754,1952.1717430141944,50.07228573545024,3.23386221817401,1852.946817493008,28.24214589034806,2.483324937076836,1601.6762929618894
2021-07-01,Argentina,529.7087,418.2942,537.4829,438.0619,470.0952,431.6135,499.4892,500.4272,498.0987,510.6974,494.0248,482.1844,457.2079,463.7774,550.5464,422.6424,546.1141,432.405,54.41074058461346,3.822495656040626,2036.971126150618,57.88046878625859,2.920488090332407,1988.6373757047545,55.37154127710764,3.1335013123486855,1889.5334852797016,37.07327237295757,1.44570951083689,1691.627246945869,38.17894110492832,3.067976583041876,1563.7380709182733,43.026168065734296,2.5379486637342685,1596.930317148218,58.096475309983674,4.8786897834343534,1851.53468833944,62.9333875933352,2.2919855989489646,2020.5720231459716,27.57131692067214,0.3685341325890157,1739.309073571274,51.76617162510582,2.9970333220362466,4957.555799999999,1842.9194521536403,0.2908037314976113,3157.3112,48.66995897106698,3.0939667125280623,1784.0380034821044,54.27419899414176,4.762096229510182,1715.9337937024122,35.51199436498247,3.189907851241891,1620.7888050247525,61.705005304247095,1.2423493111972217,1827.8463962389617,51.15487102693507,3.1064229315019176,1547.6501301911553,56.364740374442704,3.40636080203911,1959.8735495696276,48.4165439739946,2.728587876078059,1848.064174471164,30.599730950751415,2.883120986676735,1599.8587944688368
2021-08-01,Argentina,537.5867,426.7422,550.9627,452.5377,467.3059,449.9,515.857,503.3702,510.3942,526.6934,510.8956,500.0179,462.3809,477.4438,573.6501,432.4694,559.4713,437.3723,57.11650118744611,4.196503691605291,2070.6855557624026,56.70704635002877,2.5079495552323694,1988.7916077306604,55.52069968951574,3.1321874754012713,1901.1875282430697,37.242196476374744,1.1314327683314307,1669.04085066911,39.29179363515465,2.3251334934687007,1561.070310785674,47.95331791645947,4.236776653186247,1623.9889638954216,52.94576272010423,0.5880975294708213,1816.99855424279,62.2999503356982,2.4458625038247472,2019.5048162174369,26.44060789214289,-0.5933479005954423,1686.818458242315,51.42388727099251,2.4684866674014705,5130.8868,1842.3528518253672,0.3226670495119506,3667.7054,49.23907213630174,3.698481327890324,1804.89786919352,55.90734715362944,2.9467585095780846,1723.4128963776238,35.48189214563882,3.304510161691754,1633.5101812549835,63.6023439303776,3.4149702606022903,1844.1627386146472,52.22601847934576,2.0196311591219818,1540.397028736281,53.37376422080431,1.4872325110008466,1940.508708461789,48.15660473382432,3.27690768889497,1862.071738048901,29.09309163592615,1.1487609995259218,1578.7681447289565
2021-09-01,Argentina,553.4373,451.7961,570.0767,462.336,480.2655,463.9288,533.8161,535.3815,528.4968,543.8748,541.712,518.8505,476.0569,496.8871,598.3555,448.6131,576.4905,445.7672,58.35756908346652,4.306701942525604,2101.034835424143,56.44990475678193,3.469200365106362,2001.7381064662031,56.95744146650467,3.2621255553990425,1909.7340977217368,38.6285739911463,2.9577346296094875,1671.601799505524,42.86340733607332,3.7329115077274766,1575.2370467516623,52.11712980435197,3.11820404534342,1629.0158107621976,50.79801212397073,6.35939513304522,1879.9111594054548,61.42604409229746,3.0420148450867712,2024.259195062269,29.76830788668625,2.7732583731555627,1686.3796618438262,52.4712170969593,3.546787953311381,5312.762900000001,1855.7365766842388,0.3695792450864594,4196.2022,52.0149691458399,3.7663851634111456,1821.8650532622064,59.47888944093316,4.072374591522587,1744.743896183589,35.947469495063444,2.1651897731393532,1623.4229344773407,63.90408026492751,6.031838990196814,1902.1397526508624,54.563141538364704,5.870968467613458,1586.4136698146328,53.36229858353112,2.948473241618532,1943.3113701187372,49.4502870210064,3.4814105459458844,1874.414494076277,29.59787976455526,1.9193945295575388,1565.2440993514406
2021-10-01,Argentina,572.3293,461.7273,590.5328,477.8239,485.73,470.3893,548.5192,578.9276,547.0802,561.2843,569.4577,539.5742,485.2106,517.4057,626.6749,463.3373,594.2962,456.979,60.88764139848204,4.7328720133766655,2126.0619566581895,54.94245539059597,3.588306626108384,2003.4459976597743,56.56513869359154,3.2010124388921923,1904.2173176227775,39.214111618472145,1.9228163692197375,1646.129113559988,44.833957624864325,3.282160061754791,1571.921592249383,54.03050750997669,1.3925628242954513,1595.8462602364898,48.83050609985744,8.133657961659125,1964.0741092701012,59.7607793515601,3.0886371935010315,2016.213736670364,31.419352272748817,1.137808149867103,1647.8912338879095,52.11165082286735,3.51627483837178,5500.186100000001,1856.0283816392737,0.4177374154729967,4743.2824,54.11755767402751,3.994156312849273,1830.5634698537908,60.63222084172344,4.129428999062368,1755.3544508134926,37.610874459253466,3.349922999723143,1621.0689398475145,62.16700255812888,5.121854417107263,1931.9464556440228,55.01164616864889,2.198159745070849,1566.4594941978737,51.37398648362714,3.4135754854253575,1941.6886672991243,46.97034652170744,2.754338057619466,1860.9103438107777,29.83663697996899,2.515169352971691,1550.350376074904
2021-11-01,Argentina,584.4717,466.8177,605.5459,487.5849,489.7423,474.3662,563.3426,581.892,560.9184,579.5414,592.8289,547.4789,490.2282,543.1712,641.9374,474.6729,607.3504,466.9551,58.97295437947571,2.435473321174997,2124.7235399065835,53.70187852354835,2.5422973965205653,2004.2727347307043,55.5333998541123,3.252736625628039,1918.2014553606275,38.983668799025665,1.0341076637649715,1622.587181345148,44.67182886360146,2.4465114291467582,1571.1013011326709,54.64462454278134,0.8454486528498784,1570.086166775817,46.606192565434526,0.512050211459969,1925.981614536436,57.57044614965121,2.196581435317957,2010.2453788355056,33.272458361056344,0.8260350400428162,1620.9789199040156,51.18234515503297,2.5294646013509503,5690.0834,1856.561914676941,0.4535985815374941,5304.2008000000005,48.80233287562958,1.464988503898068,1812.0790382865407,63.37287836346559,4.979748000456885,1797.8211502232257,36.8088323554491,2.0428027982694053,1613.838225865945,62.82518130172497,4.104115195913582,1962.1812328848985,52.18513330201509,1.102468924839406,1545.1016813088777,50.48716947864293,2.1215758130852302,1934.520062858495,45.21478330916706,2.7024395864356343,1864.5856796195055,29.408228826833493,2.1830543635484423,1545.5564562049708
2021-12-01,Argentina,609.3311,491.9092,628.9364,503.0842,498.8013,479.1164,582.338,603.6269,582.4575,605.1759,621.094,569.1202,498.6315,575.1289,645.1434,492.1334,637.3158,476.8025,51.81030612273714,0.4994256449304846,2057.1627689294337,53.66199640067179,3.862712966927884,2005.4836585238413,54.86932700046447,4.4232387884627355,1929.718772808281,37.71820922399613,1.7141608744662085,1589.9816338746346,44.208323370418825,3.678427818398733,1569.2612027444698,56.115995655881434,1.0013782600868382,1527.754015717284,50.07616597843385,3.735212032473356,1924.7794908919325,57.62892207541661,4.933791103125951,2032.2029734946943,35.776422436695924,1.849748326824141,1590.5230735579116,50.94163354346632,3.839970305841267,5886.658300000001,1857.2768216860245,0.5094163354346637,5886.6583,47.03341991574619,3.9529011985667495,1814.7482970230697,65.38935142795359,5.883540953570443,1833.9081829176885,38.751877870242105,3.178789991240505,1604.179917017905,64.63859610244647,4.767834361651402,1980.4766704665317,55.10198418992023,5.375010416271708,1568.5462982863385,50.345545170324925,4.253311152618666,1942.9684204640669,46.60239709362028,3.3719090301354893,1856.8957731456735,28.338831040715327,2.108853720625392,1520.375704273618
2022-01-01,Argentina,639.405,500.7578,653.0302,524.7001,536.1267,482.7713,601.6662,658.2543,605.0317,625.1594,635.994,593.0751,512.3766,607.7867,671.6729,511.9611,654.8718,485.193,52.86917221087286,4.1121865309325045,2061.3639453635337,53.13243349716732,3.830880197107378,2004.1495041910096,53.95458980454968,3.302097786775726,1918.6140266565756,34.594491933812435,2.7565647176321706,1572.4836444762818,44.52653096137489,4.028927928890824,1571.2084750905606,56.40091293283725,0.7628417645482388,1481.6249869189037,58.867423256011506,9.049861760633917,2020.1822656541765,54.85054942508458,2.754678292927948,2009.801374084497,26.758494417678836,7.483019791648493,1645.37269484407,50.69016214159103,3.875681916706375,6090.1829,1856.842120892485,0.0387568191670637,605.0317,46.182603071565694,4.20911083458293,1820.14731878102,65.84819509937603,5.678344454608331,1865.2972151347517,41.8175837553354,4.296676381408915,1610.3044625868345,66.30415853224214,2.398992745059525,1951.8654110766345,51.09165984011539,1.7988279137694407,1536.8255504719086,50.505817049063936,4.935559665344513,1962.3337691384752,47.10571522039226,3.3190689942954155,1846.5134023181297,29.126512541180972,1.7597432899365997,1489.0571835528408
